postcodeSector,households,numberOfPostcodeUnits,headcount
E5   8,6903,361,15935
E5   9,5999,347,16989
E6   1,4960,258,18082
E6   2,5132,280,19258
E6   3,6518,321,22242
E6   5,4114,262,11633
E6   6,3969,211,12899
E7   0,4955,291,13858
E7   8,5739,308,22236
E7   9,5782,344,17776
E8   1,3900,254,8677
E8   2,4464,268,10133
E8   3,4713,345,11953
E8   4,4559,311,11571
E9   5,5195,345,14460
E9   6,4951,295,12961
E9   7,5864,338,13571
EC1A 4,140,86,448
EC1A 7,336,127,575
EC1A 9,329,158,250
EC1M 3,226,70,163
EC1M 5,627,143,833
EC1M 6,252,142,307
EC1M 7,103,22,142
EC1N 7,993,86,1792
EC1N 8,336,289,683
EC1R 0,685,177,1227
EC1R 1,547,60,1263
EC1R 3,175,100,365
EC1R 4,798,140,1524
EC1R 5,439,103,524
EC1V 0,1085,136,2071
EC1V 1,135,103,1636
EC1V 2,65,103,608
EC1V 3,1328,125,2988
EC1V 4,799,126,1456
EC1V 7,1327,168,2353
EC1V 8,854,74,2291
EC1V 9,862,211,1894
EC1Y 0,722,90,1258
EC1Y 2,241,56,139
EC1Y 4,127,64,156
EC1Y 8,995,192,2267
EC2A 3,307,247,908
EC2A 4,449,295,851
EC2Y 8,2210,121,3010
EC3R 8,226,99,162
EC4A 1,164,159,220
EC4V 3,383,119,330
EC4V 5,237,98,196
EC4Y 7,334,65,53
EN1  1,4868,382,13660
EN1  2,3039,260,7828
EN1  3,4811,359,11694
EN1  4,5271,304,14754
EN10 6,4617,308,11438
EN10 7,2426,271,6621
EN11 0,2664,284,6883
EN11 8,3282,327,6909
EN11 9,3162,237,8691
EN2  0,4199,260,10081
EN2  6,1930,266,4191
EN2  7,3099,269,8229
EN2  8,3256,280,7434
EN2  9,652,112,1340
EN3  4,4415,352,12690
EN3  5,5847,329,17000
EN3  6,7474,393,20547
EN3  7,3735,365,11101
EN4  0,1897,233,5324
EN4  8,4937,357,13811
EN4  9,3386,302,8543
EN5  1,2796,310,7672
EN5  2,5491,346,13312
EN5  3,1460,169,3756
EN5  4,2302,271,6059
EN5  5,3958,373,9099
EN6  1,2837,319,5968
EN6  2,2903,257,7603
EN6  3,2163,226,5288
EN6  4,2230,258,5787
EN6  5,2205,228,5662
EN7  5,2920,245,7647
EN7  6,5577,364,14285
EN8  0,4131,289,10784
EN8  7,3160,332,8589
EN8  8,4819,323,11570
EN8  9,3571,313,8426
EN9  1,3616,325,8677
EN9  2,2084,216,4968
EN9  3,4833,327,11665
EX1  1,831,347,2138
EX1  2,4016,326,9797
EX1  3,4670,390,15687
EX10 0,2156,247,4554
EX10 8,2272,315,3618
EX10 9,4559,339,9520
EX11 1,3513,394,9577
EX12 2,4089,358,7684
EX12 3,1148,171,1754
EX12 4,266,42,416
EX13 5,3411,347,8664
EX13 7,1844,274,4152
EX13 8,284,54,763
EX14 1,3007,267,5648
EX14 2,2493,156,5578
EX14 3,1627,230,4717
EX14 4,1163,159,2941
EX14 9,1351,275,3341
EX15 1,3753,378,10797
EX15 2,2469,284,6294
EX15 3,2905,319,6728
EX16 4,2651,229,5919
EX16 5,2218,205,5731
EX16 6,4346,355,9824
EX16 7,1832,248,4668
EX16 8,1725,226,4209
EX16 9,1596,231,3387
EX17 1,964,116,2134
EX17 2,1036,92,2401
EX17 3,1963,231,4692
EX17 4,1332,239,3351
EX17 5,1383,185,3549
EX17 6,1843,254,4415
EX18 7,1524,222,3287
EX19 8,1725,252,3789
EX2  4,3176,303,6207
EX2  5,3795,312,7886
EX2  6,2311,172,5890
EX2  7,2220,349,9706
EX2  8,3613,395,7301
EX2  9,3223,303,7922
EX20 1,3693,361,9387
EX20 2,2090,302,4920
EX20 3,2007,273,4716
EX20 4,1433,218,3282
EX21 5,2059,312,4649
EX22 6,2758,335,6758
EX22 7,2158,317,5100
EX23 0,1834,202,3553
EX23 8,3743,326,7854
EX23 9,2567,270,5252
EX24 6,1890,240,3869
EX3  0,2586,261,4935
EX31 1,1874,302,3677
EX31 2,2820,216,6375
EX31 3,3640,375,11035
EX31 4,2987,307,7324
EX32 0,2269,289,5182
EX32 7,3092,233,6965
EX32 8,2898,254,6536
EX32 9,2339,174,5567
EX33 1,3025,221,5089
EX33 2,2197,199,5204
EX34 0,1395,180,2899
EX34 7,1210,113,1387
EX34 8,3053,234,6517
EX34 9,3364,297,5805
EX35 6,1003,152,1632
EX36 3,1813,222,4101
EX36 4,2182,232,5944
EX37 9,1585,219,3783
EX38 7,1916,147,4454
EX38 8,1766,215,3967
EX39 1,5339,356,9154
EX39 2,2093,219,3881
EX39 3,4031,279,10711
EX39 4,3233,252,7354
EX39 5,2859,302,6444
EX39 6,1028,113,1916
EX4  0,127,26,332
EX4  1,4027,261,8793
EX4  2,3373,229,7882
EX4  3,1265,312,2726
EX4  4,3040,344,10382
EX4  5,1370,115,3504
EX4  6,2742,308,10108
EX4  7,2167,138,5408
EX4  8,2598,245,7601
EX4  9,1649,117,3954
EX5  1,1604,247,4183
EX5  2,2000,324,4881
EX5  3,964,157,2408
EX5  4,2248,230,5292
EX5  5,1286,190,3078
EX6  6,1362,207,3157
EX6  7,1845,318,4068
EX6  8,3112,332,7750
EX7  0,2688,308,8103
EX7  9,3506,285,6535
EX8  1,3802,304,6721
EX8  2,3912,307,8902
EX8  3,2559,185,5890
EX8  4,4254,281,9365
EX8  5,2873,276,7559
EX9  6,2764,263,5108
EX9  7,816,130,1862
FY1  1,205,236,393
FY1  2,4096,255,7937
FY1  3,2408,269,4587
FY1  4,3543,263,6863
FY1  5,3194,233,6264
FY1  6,4060,253,8391
FY2  0,6965,390,14087
FY2  9,4800,303,9992
FY3  0,798,79,2482
FY3  7,5139,334,10988
FY3  8,4506,269,8703
FY3  9,4617,345,9694
FY4  1,4234,287,8489
FY4  2,3490,249,7853
FY4  3,4849,234,9713
FY4  4,5794,384,11980
FY4  5,2386,270,6440
FY5  1,4052,263,7912
FY5  2,5692,362,11847
FY5  3,5510,358,10953
FY5  4,3730,251,8324
FY5  5,2499,215,5681
FY6  0,3461,245,7072
FY6  7,6012,385,12949
FY6  8,2587,203,5597
FY6  9,1223,97,3195
FY7  6,3834,331,7545
FY7  7,3934,214,9065
FY7  8,4319,304,9618
FY8  1,5246,375,9148
FY8  2,4778,318,9393
FY8  3,4994,346,10769
FY8  4,5073,327,9795
FY8  5,3171,291,6008
GL1  1,1378,326,3174
GL1  2,2131,310,4372
GL1  3,2960,232,6734
GL1  4,5037,314,13476
GL1  5,4474,292,11129
GL10 2,2925,203,7251
GL10 3,3078,348,8607
GL11 4,2807,226,6532
GL11 5,3540,326,8953
GL11 6,1689,161,3852
GL12 7,2786,246,6382
GL12 8,3067,311,9801
GL13 9,2591,278,6199
GL14 1,1597,185,3308
GL14 2,3712,321,8017
GL14 3,1681,176,4621
GL15 4,2198,273,5693
GL15 5,3899,310,9529
GL15 6,3206,323,7032
GL16 7,3122,251,7246
GL16 8,2926,263,6952
GL17 0,1937,394,4862
GL17 9,3001,304,6872
GL18 1,2750,288,7426
GL18 2,652,74,1300
GL19 3,2570,245,6345
GL19 4,1403,192,3341
GL2  0,4990,299,11947
GL2  2,1787,171,9076
GL2  3,207,27,661
GL2  4,6611,358,17954
GL2  5,1641,222,4650
GL2  7,1918,192,5211
GL2  8,1518,195,4139
GL2  9,2923,272,8261
GL20 5,3659,337,7113
GL20 6,1181,137,2995
GL20 7,3151,293,8951
GL20 8,4614,334,10432
GL3  1,2561,199,5997
GL3  2,3314,256,7384
GL3  3,3955,283,8416
GL3  4,3694,377,13072
GL4  0,5335,339,12647
GL4  3,1399,203,3816
GL4  4,4277,258,10229
GL4  5,3565,192,8356
GL4  6,4621,289,11111
GL4  8,1116,143,2470
GL5  1,3631,314,7867
GL5  2,2156,279,4530
GL5  3,1935,254,4574
GL5  4,4625,302,10755
GL5  5,1643,200,3625
GL50 1,730,292,1367
GL50 2,4589,351,7140
GL50 3,2125,310,4645
GL50 4,3793,287,9026
GL51 0,5397,372,12536
GL51 3,4555,290,10131
GL51 4,1107,86,2399
GL51 6,3504,304,8615
GL51 7,2902,278,7031
GL51 8,2952,212,6624
GL51 9,2512,298,5842
GL52 2,2774,293,5367
GL52 3,2533,229,6645
GL52 5,3767,251,9225
GL52 6,4429,355,9029
GL52 7,648,77,3234
GL52 8,4385,339,11897
GL52 9,1672,124,3823
GL53 0,1829,224,5253
GL53 7,2774,275,5613
GL53 8,2265,209,5447
GL53 9,1826,211,4829
GL54 1,1724,200,2802
GL54 2,2713,320,7450
GL54 3,1852,243,3705
GL54 4,1341,174,2981
GL54 5,3560,373,7840
GL55 6,2822,349,5809
GL56 0,2785,393,6343
GL56 9,1736,265,3705
GL6  0,2868,270,6271
GL6  6,1915,315,4735
GL6  7,1822,208,3708
GL6  8,2847,267,6414
GL6  9,1731,155,3644
GL7  1,6414,395,15226
GL7  2,2372,240,5265
GL7  3,2291,277,5023
GL7  4,1923,224,5402
GL7  5,3482,357,7908
GL7  6,2143,239,4643
GL7  7,968,143,2036
GL8  8,3974,388,9564
GL9  1,1131,126,2514
GU1  1,4461,384,11180
GU1  2,3812,381,10126
GU1  3,2393,363,4428
GU1  4,2536,385,6077
GU10 1,1980,254,5440
GU10 2,1147,200,2902
GU10 3,1687,219,4458
GU10 4,2691,303,6976
GU10 5,1510,261,4454
GU11 1,2711,354,7721
GU11 2,1181,196,3791
GU11 3,5262,354,13325
GU12 4,5951,380,14971
GU12 5,3402,282,7802
GU12 6,3926,306,9718
GU14 0,3278,277,7917
GU14 6,4133,386,10193
GU14 7,2691,354,7317
GU14 8,6229,351,15950
GU14 9,5935,371,15847
GU15 1,3834,343,9974
GU15 2,3817,372,9957
GU15 3,2945,393,8092
GU15 4,3059,385,8108
GU16 6,4129,340,10027
GU16 7,823,150,2350
GU16 8,2995,183,7579
GU16 9,1459,110,4180
GU17 0,2684,227,7262
GU17 9,1584,198,4686
GU18 5,2848,237,6609
GU19 5,2409,257,6122
GU2  4,1371,143,3208
GU2  7,2786,288,12001
GU2  8,3274,205,8534
GU2  9,4805,292,12088
GU20 6,1896,237,4211
GU21 2,4638,345,12393
GU21 3,4717,251,10859
GU21 4,3815,364,9717
GU21 5,3169,341,9162
GU21 6,1190,166,2459
GU21 7,926,85,2110
GU21 8,1742,98,4163
GU22 0,2771,278,6428
GU22 7,4232,394,9826
GU22 8,3595,318,10030
GU22 9,3163,264,10315
GU23 6,1616,240,3696
GU23 7,1172,141,3199
GU24 0,1698,203,5871
GU24 8,1886,286,4598
GU24 9,3063,313,9943
GU25 4,2357,315,5839
GU26 6,3135,365,7763
GU27 1,2960,264,7083
GU27 2,2237,248,4411
GU27 3,2437,306,6600
GU28 0,1842,248,4112
GU28 9,1283,182,2782
GU29 0,1588,227,3242
GU29 9,2988,330,6679
GU3  1,937,151,2116
GU3  2,1110,123,2834
GU3  3,2569,272,6516
GU30 7,4038,391,10555
GU31 4,3361,292,8041
GU31 5,1652,251,3616
GU32 1,1401,244,3238
GU32 2,1473,140,3728
GU32 3,2286,254,5301
GU33 6,804,158,1936
GU33 7,2659,274,6476
GU34 1,2978,346,6563
GU34 2,4337,360,11125
GU34 3,1109,235,2703
GU34 4,1605,229,4631
GU34 5,2736,333,8536
GU35 0,4503,389,12102
GU35 8,2400,249,5273
GU35 9,2653,267,6758
GU4  7,4622,393,10726
GU4  8,2222,261,5396
GU46 6,4480,301,10922
GU46 7,1431,142,3783
GU47 0,4273,255,10565
GU47 8,1702,143,4512
GU47 9,1636,105,3919
GU5  0,2940,321,6754
GU5  9,1826,256,4055
GU51 1,1871,155,5274
GU51 2,1076,122,2559
GU51 3,3699,329,8557
GU51 4,1701,216,4369
GU51 5,1320,141,4371
GU52 0,1013,70,2470
GU52 6,3107,214,7133
GU52 7,1282,107,3650
GU52 8,1023,136,5587
GU6  7,3562,326,8759
GU6  8,2731,387,7136
GU7  1,3263,390,8978
GU7  2,2707,292,6933
GU7  3,3635,300,8674
GU8  4,2345,335,5653
GU8  5,3321,333,8178
GU8  6,1638,194,3826
GU9  0,3069,250,7311
GU9  7,2512,373,5729
GU9  8,4068,358,10702
GU9  9,3223,286,8141
HA0  1,3210,389,12840
HA0  2,4399,368,15672
HA0  3,3710,301,11578
HA0  4,4041,361,16664
HA1  1,2950,372,9558
HA1  2,2988,383,10126
HA1  3,4049,383,9939
HA1  4,5055,387,15414
HA2  0,4201,375,13383
HA2  6,3016,212,9076
HA2  7,2705,234,8564
HA2  8,4655,332,13546
HA2  9,5095,316,15491
HA3  0,3690,337,11841
HA3  5,3703,310,11530
HA3  6,3312,283,9908
HA3  7,4316,305,12992
HA3  8,3705,353,12967
HA3  9,4882,315,16545
HA4  0,3648,354,11455
HA4  6,4385,296,11460
HA4  7,4326,352,10290
HA4  8,3513,326,9270
HA4  9,4245,303,10620
HA5  1,3445,308,9280
HA5  2,3787,299,9254
HA5  3,4376,386,11413
HA5  4,3443,337,9165
HA5  5,3070,290,7972
HA6  1,3733,285,8803
HA6  2,3514,396,8625
HA6  3,2159,290,6040
HA7  1,2701,271,9766
HA7  2,4032,275,10768
HA7  3,3204,361,8965
HA7  4,3591,394,9838
HA8  0,4165,295,12690
HA8  5,3896,324,14009
HA8  6,3919,300,11417
HA8  7,1948,353,5393
HA8  8,5345,393,15926
HA8  9,4272,368,12389
HA9  0,1175,371,8669
HA9  6,3256,295,11701
HA9  7,3022,340,10604
HA9  8,4447,358,15087
HA9  9,4308,381,12620
HD1  1,215,271,340
HD1  3,2742,300,8647
HD1  4,3929,272,8704
HD1  5,1292,176,3193
HD1  6,1380,219,3272
HD2  1,7019,390,16016
HD2  2,5564,369,13996
HD3  3,6877,397,17633
HD3  4,6841,393,14083
HD4  5,5234,295,12739
HD4  6,4972,306,10180
HD4  7,3617,259,7108
HD5  0,2293,220,5242
HD5  8,6341,341,13793
HD5  9,5463,303,11701
HD6  1,1422,294,2667
HD6  2,3552,243,7085
HD6  3,5518,337,11793
HD6  4,2299,175,4994
HD7  4,3724,239,7987
HD7  5,4526,339,10548
HD7  6,2094,154,4249
HD8  0,4621,373,11147
HD8  8,5096,385,11482
HD8  9,4595,377,11038
HD9  1,3212,237,6626
HD9  2,1932,218,5037
HD9  3,1711,162,3972
HD9  4,1761,134,3455
HD9  5,1985,144,5374
HD9  6,2891,243,6287
HD9  7,2161,206,5133
HG1  1,726,276,1126
HG1  2,3561,327,7297
HG1  3,3240,169,7123
HG1  4,5653,325,12871
HG1  5,3117,309,5946
HG2  0,4006,261,8070
HG2  7,4875,298,10474
HG2  8,3672,267,8250
HG2  9,2382,206,5931
HG3  1,2258,354,6066
HG3  2,4793,396,13668
HG3  3,1957,295,4592
HG3  4,957,141,1735
HG3  5,1728,250,3324
HG4  1,3785,339,8350
HG4  2,3581,268,8282
HG4  3,1871,269,4372
HG4  4,1220,170,2282
HG4  5,1121,187,2669
HG5  0,3946,342,9663
HG5  8,2265,274,4967
HG5  9,1902,193,4073
HP1  1,3800,364,9257
HP1  2,3692,277,8600
HP1  3,3352,268,8423
HP10 0,2335,255,5549
HP10 8,2177,238,5495
HP10 9,3386,349,8322
HP11 1,3265,373,10493
HP11 2,2081,358,6780
HP12 3,4502,386,12821
HP12 4,4240,358,10462
HP13 5,5571,389,16572
HP13 6,4384,388,12493
HP13 7,7410,393,16929
HP14 3,3983,393,9999
HP14 4,3350,332,8002
HP15 6,3307,310,8175
HP15 7,3691,326,9130
HP16 0,2847,315,7000
HP16 9,2063,246,4722
HP17 0,501,272,942
HP17 8,3471,386,9564
HP17 9,388,237,485
HP18 0,2359,393,14002
HP18 9,3089,351,7625
HP19 0,1021,83,2255
HP19 7,2999,156,6792
HP19 8,1451,289,5340
HP19 9,4288,272,12687
HP2  4,4771,383,12335
HP2  5,5444,392,13730
HP2  6,3296,226,7919
HP2  7,3110,376,8442
HP20 1,3248,342,9378
HP20 2,2948,354,6789
HP21 7,4108,377,9237
HP21 8,5160,381,13411
HP21 9,4511,339,12451
HP22 4,2215,283,5635
HP22 5,5420,396,16316
HP22 6,2692,223,6288
HP23 4,2434,306,6497
HP23 5,3396,332,7907
HP23 6,1554,233,3590
HP27 0,2771,290,6412
HP27 9,2486,324,6932
HP3  0,3062,312,9007
HP3  8,3908,308,10125
HP3  9,5967,389,15668
HP4  1,3069,316,6397
HP4  2,3462,374,8109
HP4  3,4000,393,10305
HP5  1,2959,361,6839
HP5  2,4680,388,12419
HP5  3,3041,288,7749
HP6  5,2428,298,5628
HP6  6,3304,340,9636
HP7  0,1933,282,4296
HP7  9,2638,255,6771
HP8  4,2785,318,6934
HP9  1,3673,393,9216
HP9  2,3321,392,8407
HR1  1,5840,380,14708
HR1  2,2766,303,5544
HR1  3,2649,282,6976
HR1  4,2658,283,6390
HR2  0,2067,267,4250
HR2  6,3531,301,8879
HR2  7,6622,365,14912
HR2  8,2164,251,4559
HR2  9,2474,289,6363
HR3  5,2506,70,4516
HR3  6,1435,195,3086
HR4  0,4858,317,11304
HR4  7,2370,235,5886
HR4  8,2624,285,5790
HR4  9,3784,350,7848
HR5  3,2245,245,4788
HR6  0,2055,271,4530
HR6  8,4950,322,10550
HR6  9,2476,302,5882
HR7  4,3328,324,7357
HR8  1,2149,261,4482
HR8  2,4314,371,9659
HR9  5,3335,293,7150
HR9  6,2059,245,4621
HR9  7,4440,381,9702
HU1  1,708,262,1113
HU1  2,1420,236,1816
HU1  3,131,277,610
HU10 6,4844,335,10588
HU10 7,3558,317,9151
HU11 4,3627,304,8082
HU11 5,1658,236,4075
HU12 0,2440,263,5380
HU12 8,4973,365,11119
HU12 9,3871,290,8733
HU13 0,3192,338,8241
HU13 9,3311,193,7300
HU14 3,3592,299,8549
HU15 1,5276,395,14236
HU15 2,4756,392,10897
HU16 4,3131,239,6723
HU16 5,4013,348,9381
HU17 0,4781,367,10244
HU17 5,1182,60,2536
HU17 7,3747,289,9939
HU17 8,5028,398,11132
HU17 9,4631,299,9970
HU18 1,4114,315,8975
HU19 2,3338,235,6960
HU2  0,548,113,1288
HU2  8,1043,217,1589
HU2  9,663,47,1507
HU20 3,430,41,881
HU3  1,3412,299,6171
HU3  2,2965,241,6565
HU3  3,2196,223,4662
HU3  5,1280,192,4142
HU3  6,3749,271,9495
HU4  6,5596,299,13764
HU4  7,4695,212,10233
HU5  1,2404,208,5368
HU5  2,4131,268,8682
HU5  3,4876,305,9277
HU5  4,3928,238,8750
HU5  5,8288,346,16771
HU6  0,225,20,491
HU6  7,5047,309,12939
HU6  8,4141,232,10162
HU6  9,5403,261,12421
HU7  0,841,136,1898
HU7  3,2733,199,12979
HU7  4,9894,396,22345
HU7  5,2018,112,5465
HU7  6,2140,71,5188
HU8  0,4020,281,9000
HU8  7,1165,163,2015
HU8  8,3998,252,8728
HU8  9,6415,334,15242
HU9  1,2355,268,4307
HU9  2,2963,196,5778
HU9  3,4431,270,11516
HU9  4,5920,262,12965
HU9  5,3565,277,7366
HX1  1,411,273,616
HX1  2,2241,331,4910
HX1  3,2893,248,8241
HX1  4,2537,224,7563
HX1  5,1583,235,4490
HX2  0,3934,270,10156
HX2  6,2262,261,4541
HX2  7,2807,228,5735
HX2  8,3122,280,8276
HX2  9,3856,275,8389
HX3  0,3359,292,7639
HX3  5,3530,258,7469
HX3  6,3308,282,6192
HX3  7,4308,297,9637
HX3  8,3286,308,7854
HX3  9,3200,292,7117
HX4  0,712,111,1756
HX4  8,2810,214,6121
HX4  9,1792,194,4151
HX5  0,2737,216,6476
HX5  9,2030,155,4061
HX6  1,1850,160,4105
HX6  2,3070,299,6637
HX6  3,1459,244,3133
HX6  4,2285,234,5299
HX7  5,2280,273,4613
HX7  6,1126,179,2443
HX7  7,1224,170,2462
HX7  8,1860,261,3368
IG1  1,4423,380,16643
IG1  2,6321,387,22854
IG1  3,5682,343,17103
IG1  4,4275,346,14376
IG10 1,2800,258,7224
IG10 2,4105,236,9844
IG10 3,4655,309,11996
IG10 4,2049,226,4735
IG11 0,3639,383,15697
IG11 7,6086,385,16257
IG11 8,3061,337,11455
IG11 9,6836,328,21902
IG2  6,4973,348,16104
IG2  7,4931,304,15781
IG3  8,5563,369,18913
IG3  9,5892,365,21383
IG4  5,2789,227,10573
IG5  0,5939,331,18328
IG6  1,3059,243,10513
IG6  2,4690,317,13997
IG6  3,2827,211,7691
IG7  4,3084,216,9637
IG7  5,3311,231,9027
IG7  6,1816,198,4969
IG8  0,3531,330,9261
IG8  7,3771,256,9770
IG8  8,3349,272,9038
IG8  9,3730,265,9996
IG9  5,3439,288,7665
IG9  6,2326,127,5590
IP1  1,419,271,789
IP1  2,2871,229,5707
IP1  3,1561,264,3929
IP1  4,3648,200,8381
IP1  5,4020,207,9517
IP1  6,4996,253,12340
IP10 0,1381,339,3416
IP11 0,2347,150,5603
IP11 2,3969,289,9100
IP11 7,3170,288,6160
IP11 9,4148,309,9306
IP12 1,3372,299,7245
IP12 2,2653,305,5618
IP12 3,1889,252,5054
IP12 4,3518,315,7600
IP13 0,1827,275,4253
IP13 6,2038,313,4650
IP13 7,1386,247,3232
IP13 8,1051,162,2216
IP13 9,1832,276,5275
IP14 1,4243,324,10344
IP14 2,2760,238,6689
IP14 3,1934,246,4574
IP14 4,2522,289,6156
IP14 5,3556,344,9777
IP14 6,1795,242,4209
IP15 5,2018,191,2401
IP16 4,3375,322,6830
IP17 1,3165,374,7610
IP17 2,1280,221,2584
IP17 3,1179,212,2179
IP18 6,3124,324,3840
IP19 0,1106,211,2229
IP19 8,2993,265,6165
IP19 9,1098,156,1925
IP2  0,4131,284,9886
IP2  8,3578,271,8726
IP2  9,6436,328,14058
IP20 0,1145,152,2486
IP20 9,2547,227,5912
IP21 4,2911,310,6514
IP21 5,2196,269,4909
IP22 1,2442,269,5636
IP22 2,2408,273,5393
IP22 4,4006,312,9229
IP22 5,1156,115,2664
IP23 7,1959,208,4415
IP23 8,1124,161,3147
IP24 1,4078,306,10018
IP24 2,4144,356,10281
IP24 3,3427,276,8670
IP25 6,4921,392,14310
IP25 7,3057,284,7164
IP26 4,2479,225,6066
IP26 5,1563,151,3577
IP27 0,5272,333,11333
IP27 9,3136,258,9178
IP28 6,2383,300,5963
IP28 7,4229,249,9318
IP28 8,4443,396,14377
IP29 4,1917,250,4458
IP29 5,1977,232,4712
IP3  0,4568,253,10570
IP3  8,5329,334,12450
IP3  9,5018,325,12718
IP30 0,1835,268,4674
IP30 9,4009,369,9976
IP31 1,2296,236,5799
IP31 2,3356,328,8206
IP31 3,2945,306,7297
IP32 6,3807,282,9636
IP32 7,3377,233,8395
IP33 1,2524,324,4693
IP33 2,4227,293,8886
IP33 3,4843,345,10313
IP4  1,1741,215,4354
IP4  2,3843,292,8267
IP4  3,2202,176,5334
IP4  4,3286,230,8278
IP4  5,5118,308,12113
IP5  1,2580,165,5380
IP5  2,3932,237,10764
IP5  3,1722,116,3530
IP6  0,2365,280,6764
IP6  8,2907,315,6549
IP6  9,1921,282,4608
IP7  5,2944,277,6730
IP7  6,1995,250,5286
IP7  7,1996,246,5012
IP8  3,2987,292,7020
IP8  4,1916,228,4396
IP9  1,1893,209,4101
IP9  2,2894,336,7562
KT1  1,503,286,1251
KT1  2,3759,340,7941
KT1  3,4719,301,11641
KT1  4,1602,138,2795
KT10 0,3796,308,10078
KT10 8,2501,235,6187
KT10 9,2055,331,5416
KT11 1,1323,215,4286
KT11 2,3588,322,8767
KT11 3,1206,200,2840
KT12 1,2102,310,5326
KT12 2,5212,325,12146
KT12 3,3254,274,8591
KT12 4,2496,235,6062
KT12 5,3054,254,7812
KT13 0,2902,384,7048
KT13 8,3428,377,7588
KT13 9,3399,389,8152
KT14 6,2403,274,5994
KT14 7,3267,295,7859
KT15 1,4157,309,10587
KT15 2,3890,370,10113
KT15 3,3847,286,9473
KT16 0,2537,263,5790
KT16 8,2939,272,6915
KT16 9,2925,287,7554
KT17 1,2420,335,6521
KT17 2,3023,241,8025
KT17 3,1487,189,5101
KT17 4,2655,233,6011
KT18 5,3436,310,8119
KT18 6,850,134,2055
KT18 7,3206,269,7510
KT19 0,3639,243,9308
KT19 7,664,56,1798
KT19 8,3159,326,10929
KT19 9,6058,360,15813
KT2  5,5898,374,16098
KT2  6,3448,302,8985
KT2  7,2993,335,8421
KT20 5,4239,348,11204
KT20 6,2397,314,5661
KT20 7,2108,274,4775
KT21 1,2328,212,6246
KT21 2,3304,308,7770
KT22 0,1592,239,3950
KT22 7,3122,381,7358
KT22 8,2190,326,4872
KT22 9,3574,333,8738
KT23 3,2223,226,5187
KT23 4,2448,255,6134
KT24 5,2082,252,4812
KT24 6,1794,245,4321
KT3  3,5009,330,13073
KT3  4,1861,300,5804
KT3  5,3849,257,10717
KT3  6,4020,243,10764
KT4  7,4288,275,11339
KT4  8,7332,361,18582
KT5  8,4590,297,10908
KT5  9,3597,211,10179
KT6  4,3421,320,6789
KT6  5,3068,233,7544
KT6  6,3389,281,7164
KT6  7,4092,323,11424
KT7  0,4206,373,10726
KT8  0,1064,295,3018
KT8  1,2319,127,5009
KT8  2,3156,254,8351
KT8  9,2075,298,4586
KT9  1,3744,308,9695
KT9  2,4746,273,12097
L1   0,86,48,922
L1   1,130,127,121
L1   2,91,34,1261
L1   3,187,60,208
L1   4,693,134,1581
L1   5,1436,112,2750
L1   6,284,82,965
L1   7,313,22,1032
L1   8,726,88,1534
L1   9,409,86,1195
L10  0,227,19,945
L10  1,635,34,1748
L10  2,639,33,1159
L10  3,478,38,1454
L10  4,1259,60,2797
L10  6,696,33,1347
L10  7,1067,42,2069
L10  8,887,47,2145
L10  9,654,39,1619
L11  0,694,69,1617
L11  1,990,122,4899
L11  2,1810,125,5816
L11  3,1852,75,4257
L11  4,1245,86,3046
L11  5,673,36,1738
L11  6,509,34,1030
L11  7,1292,54,3367
L11  8,908,46,1888
L11  9,961,61,1917
L12  0,3775,244,9330
L12  1,576,40,1079
L12  2,486,36,947
L12  3,365,20,846
L12  4,1391,64,3229
L12  5,1843,94,3615
L12  6,1128,41,1989
L12  7,927,69,2562
L12  8,1064,77,2790
L12  9,1925,101,4269
L13  0,621,60,2186
L13  1,722,118,1340
L13  2,1577,84,2880
L13  3,1469,89,3015
L13  4,1466,79,2904
L13  5,1953,110,4332
L13  6,1438,64,3250
L13  7,1821,100,3638
L13  8,1556,75,3423
L13  9,1613,63,2897
L14  0,1885,94,4931
L14  1,926,41,1806
L14  2,975,44,2391
L14  3,842,48,1888
L14  4,768,52,1739
L14  5,452,41,1439
L14  6,1116,51,2609
L14  7,1372,87,4005
L14  8,1094,65,2722
L14  9,1506,80,4143
L15  0,1530,64,2888
L15  1,1356,52,2931
L15  2,981,45,2805
L15  3,1504,76,4663
L15  4,2031,121,4005
L15  5,691,47,1807
L15  6,990,96,2812
L15  7,1320,60,2984
L15  8,1900,100,3450
L15  9,866,51,1631
L16  0,324,24,846
L16  1,473,26,1307
L16  2,1016,50,2455
L16  3,985,44,2153
L16  4,340,16,884
L16  5,612,31,1425
L16  6,461,21,1109
L16  7,889,45,1915
L16  8,394,33,1239
L16  9,281,31,1339
L17  0,2031,100,4026
L17  1,391,28,636
L17  2,670,42,1609
L17  3,1417,70,2040
L17  4,925,52,1558
L17  5,708,54,1140
L17  6,1051,87,2613
L17  7,2102,126,4385
L17  8,1928,127,2791
L17  9,888,63,2112
L18  0,419,29,1137
L18  1,2588,161,6112
L18  2,820,75,1791
L18  3,1323,126,3271
L18  4,901,65,2148
L18  5,1092,67,2540
L18  6,705,63,1575
L18  7,1225,51,2397
L18  8,1584,96,1603
L18  9,1511,101,3552
L19  0,1087,90,2414
L19  1,1309,57,2327
L19  2,1535,141,3459
L19  3,1242,69,2386
L19  4,1246,63,3331
L19  5,755,34,1454
L19  6,509,26,1337
L19  7,507,31,1432
